Image_File,Range,Beat,Image_Quality,Tigers_In_Frame,Identified_ID,Color_Morph,Subspecies,Status,Match_Score,Detection_Confidence
tiger_411.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.5065
tiger_417.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.8567
tiger_42.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_003,Orange_Standard,Sumatran (high stripe density),Recaptured Match,0.8988,0.4848
tiger_49.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.4774
tiger_50.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.9072
tiger_51.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.6224
tiger_52.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Unusable_Blurry,0,UNUSABLE,,,Rejected — Motion blur — Laplacian variance < 80.0,,
tiger_54.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Unusable_Blurry,0,UNUSABLE,,,Rejected — Motion blur — Laplacian variance < 80.0,,
tiger_55.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.7391
tiger_6.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.5806
tiger_62.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.5694
tiger_67.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.7899
tiger_68.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.2879
tiger_69.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 23, not a tiger proxy)",,0.4887
tiger_7.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.7237
tiger_71.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 19, not a tiger proxy)",,0.6455
tiger_74.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.6527
tiger_75.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.3357
tiger_76.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.2718
tiger_78.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_048,Orange_Standard,Bengal (medium stripe density — most likely in India),Recaptured Match,1.0,0.5828
tiger_79.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.8202
tiger_8.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_003,Orange_Standard,Bengal (medium stripe density — most likely in India),Recaptured Match,0.9026,0.5761
tiger_84.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_049,Orange_Standard,Bengal (medium stripe density — most likely in India),Recaptured Match,1.0,0.4077
tiger_85.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.3148
tiger_86.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_050,Orange_Standard,Sumatran (high stripe density),Recaptured Match,1.0,0.5682
