Unique_Tiger_ID,Original_Filename,Status,Match_Confidence_Score,Top_ResNet_Label,Blur_Score,Std_Dev,Resolution_Width,Resolution_Height
TIG_2026_0008,tiger_225.png,Duplicate,92.9%,tiger,152.3,0.127,512,512
TIG_2026_0008,tiger_228.png,Duplicate,90.8%,tiger,368.8,0.225,512,512
TIG_2026_0038,tiger_23.png,Original,N/A (New Enrollment),tiger,57.4,0.232,512,512
TIG_2026_0008,tiger_230.png,Duplicate,90.7%,tiger,220.5,0.179,512,512
TIG_2026_0039,tiger_231.png,Original,N/A (New Enrollment),tiger,238.1,0.246,512,512
TIG_2026_0040,tiger_233.png,Original,N/A (New Enrollment),tiger,42.7,0.122,512,512
TIG_2026_0041,tiger_234.png,Original,N/A (New Enrollment),tiger,226.5,0.095,512,512
TIG_2026_0008,tiger_235.png,Duplicate,89.8%,tiger,358.1,0.184,512,512
TIG_2026_0042,tiger_236.png,Original,N/A (New Enrollment),tiger,67.8,0.209,512,512
TIG_2026_0043,tiger_237.png,Original,N/A (New Enrollment),tiger,1153.7,0.179,512,512
TIG_2026_0044,tiger_24.png,Original,N/A (New Enrollment),tiger,301.1,0.183,512,512
TIG_2026_0045,tiger_240.png,Original,N/A (New Enrollment),tiger,150.2,0.175,512,512
TIG_2026_0046,tiger_241.png,Original,N/A (New Enrollment),tiger,471.5,0.197,512,512
TIG_2026_0018,tiger_244.png,Duplicate,91.0%,tiger,690.3,0.2,512,512
TIG_2026_0047,tiger_249.png,Original,N/A (New Enrollment),tiger,226.9,0.143,512,512
TIG_2026_0048,tiger_250.png,Original,N/A (New Enrollment),tiger,272.6,0.206,512,512
TIG_2026_0049,tiger_253.png,Original,N/A (New Enrollment),tiger,309.1,0.182,512,512
TIG_2026_0050,tiger_254.png,Original,N/A (New Enrollment),tiger,140.6,0.251,512,512
TIG_2026_0051,tiger_255.png,Original,N/A (New Enrollment),tiger,274.8,0.128,512,512
TIG_2026_0052,tiger_256.png,Original,N/A (New Enrollment),tiger,91.6,0.226,512,512
TIG_2026_0018,tiger_260.png,Duplicate,88.3%,tiger,299.3,0.171,512,512
TIG_2026_0053,tiger_261.png,Original,N/A (New Enrollment),tiger,195.8,0.24,512,512
TIG_2026_0054,tiger_266.png,Original,N/A (New Enrollment),tiger,1286.4,0.254,512,512
TIG_2026_0055,tiger_269.png,Original,N/A (New Enrollment),tiger,111.0,0.167,512,512
TIG_2026_0056,tiger_273.png,Original,N/A (New Enrollment),tiger,117.1,0.19,512,512
TIG_2026_0057,tiger_275.png,Original,N/A (New Enrollment),tiger,292.7,0.178,512,512
TIG_2026_0018,tiger_276.png,Duplicate,89.9%,tiger,458.7,0.189,512,512
TIG_2026_0058,tiger_279.png,Original,N/A (New Enrollment),tiger,256.9,0.155,512,512
TIG_2026_0008,tiger_280.png,Duplicate,90.5%,tiger,215.7,0.146,512,512
TIG_2026_0059,tiger_281.png,Original,N/A (New Enrollment),tiger,181.7,0.187,512,512
TIG_2026_0008,tiger_282.png,Duplicate,91.1%,tiger,218.1,0.16,512,512
TIG_2026_0008,tiger_283.png,Duplicate,91.3%,tiger,153.3,0.144,512,512
TIG_2026_0057,tiger_284.png,Duplicate,89.4%,tiger,146.6,0.262,512,512
TIG_2026_0060,tiger_286.png,Original,N/A (New Enrollment),tiger,75.5,0.181,512,512
TIG_2026_0061,tiger_289.png,Original,N/A (New Enrollment),tiger,111.7,0.157,512,512
TIG_2026_0003,tiger_295.png,Duplicate,90.4%,tiger,2604.3,0.205,512,512
TIG_2026_0057,tiger_299.png,Duplicate,88.7%,tiger,172.1,0.179,512,512
